CP2_2,,DMSO_1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
800.031189,-0.07174823433,800.031189,-0.07946237922,
799.059021,-0.0827986896,799.059021,-0.08759238571,
797.9475098,-0.07157453895,797.9475098,-0.09230184555,
796.9744873,-0.07853168994,796.9744873,-0.08695845306,
796.0011597,-0.06447779387,796.0011597,-0.07836349308,
795.0274048,-0.09791731834,795.0274048,-0.07781700045,
794.0532837,-0.07275679708,794.0532837,-0.07863520086,
792.9395142,-0.07155004144,792.9395142,-0.0843597725,
791.9645996,-0.09216682613,791.9645996,-0.1009810194,
790.9893188,-0.08202534169,790.9893188,-0.08518072963,
790.0136719,-0.09036396444,790.0136719,-0.09652552754,
789.0375977,-0.0778105557,789.0375977,-0.08213402331,
788.0612183,-0.08813753724,788.0612183,-0.07876818627,
786.9448242,-0.09727127105,786.9448242,-0.09484495968,
785.9675903,-0.08269988745,785.9675903,-0.0821731016,
784.9900513,-0.08657290041,784.9900513,-0.0999988541,
784.012085,-0.08744632453,784.012085,-0.0890603736,
783.0337524,-0.09955304861,783.0337524,-0.09955263883,
782.0550537,-0.094007276,782.0550537,-0.09721076488,
780.9360962,-0.0806986317,780.9360962,-0.07671749592,
779.956604,-0.08803406358,779.956604,-0.09821048379,
778.9767456,-0.1025622264,778.9767456,-0.08968096972,
777.996521,-0.08028063178,777.996521,-0.07788741589,
777.0159912,-0.07403513789,777.0159912,-0.08475428075,
776.0350342,-0.09380463511,776.0350342,-0.0979110375,
775.0537109,-0.08010789752,775.0537109,-0.08127233386,
773.9317017,-0.08272950351,773.9317017,-0.08007427305,
772.949646,-0.07933793217,772.949646,-0.07863126695,
771.9671631,-0.08963400871,771.9671631,-0.09504558146,
770.984314,-0.07676252723,770.984314,-0.08202186972,
770.0010986,-0.08080309629,770.0010986,-0.0890661478,
769.0175781,-0.08633650094,769.0175781,-0.09045960754,
768.0336304,-0.09086734802,768.0336304,-0.0917892307,
767.0493164,-0.096593678,767.0493164,-0.09759857506,
766.0646973,-0.08602068573,766.0646973,-0.09133012593,
764.9389648,-0.09610145539,764.9389648,-0.1008243784,
763.9534912,-0.08999434114,763.9534912,-0.0950870961,
762.9677124,-0.1028934941,762.9677124,-0.1065713614,
761.9815674,-0.09279805422,761.9815674,-0.09159502387,
760.9950562,-0.08128204197,760.9950562,-0.08332646638,
760.0082397,-0.09189599752,760.0082397,-0.0913034007,
759.0209961,-0.08654588461,759.0209961,-0.09088981152,
758.0333862,-0.08807489276,758.0333862,-0.09187295288,
757.0454712,-0.09083710611,757.0454712,-0.09819830209,
756.0571899,-0.08303163946,756.0571899,-0.09274273366,
755.0684814,-0.09236170352,755.0684814,-0.1034018248,
753.9381714,-0.08239392191,753.9381714,-0.08996362239,
752.9487915,-0.09027981758,752.9487915,-0.09684324265,
751.9589844,-0.08799275756,751.9589844,-0.09432175756,
750.9688721,-0.08639065176,750.9688721,-0.08632224053,
749.9783936,-0.0918084234,749.9783936,-0.09579478204,
748.9875488,-0.0823758468,748.9875488,-0.09039919823,
747.9963379,-0.08263748884,747.9963379,-0.08854893595,
747.0048218,-0.09761895984,747.0048218,-0.1005709246,
746.0128784,-0.08765196055,746.0128784,-0.09342832863,
745.0206299,-0.07920265943,745.0206299,-0.08908905089,
744.0280762,-0.08800345659,744.0280762,-0.09491773695,
743.0350952,-0.08194239438,743.0350952,-0.0865046531,
742.0418091,-0.07959834486,742.0418091,-0.08429893106,
741.0481567,-0.07700597495,741.0481567,-0.08699396253,
740.0541382,-0.0911084339,740.0541382,-0.09801115096,
739.0598145,-0.07489617169,739.0598145,-0.08465728164,
738.0650635,-0.08161830902,738.0650635,-0.0862044543,
737.0700073,-0.08458703011,737.0700073,-0.08641754836,
735.9324341,-0.07720139623,735.9324341,-0.08222614229,
734.9365845,-0.09329340607,734.9365845,-0.09974981844,
733.9404907,-0.08413619548,733.9404907,-0.08324851841,
732.9439697,-0.0894017145,732.9439697,-0.09257878363,
731.9471436,-0.08424311876,731.9471436,-0.08931304514,
730.9499512,-0.08873492479,730.9499512,-0.09232512116,
729.9524536,-0.08705434203,729.9524536,-0.08796545118,
728.9545288,-0.08204583079,728.9545288,-0.09024335444,
727.9563599,-0.08533188701,727.9563599,-0.08924787492,
726.9577637,-0.08516792208,726.9577637,-0.09170167148,
725.9588623,-0.09065554291,725.9588623,-0.0973450914,
724.9596558,-0.0895223394,724.9596558,-0.09647943079,
723.960022,-0.08236993849,723.960022,-0.08997692168,
722.960144,-0.08065894991,722.960144,-0.08559306711,
